target,arm,metric,estimate,ci_lo,ci_hi,n_bootstrap
EGFR,gnina,roc_auc,0.7655570733085223,0.7424756632527765,0.7892846403399767,2000
EGFR,gnina,ef1,11.792197023093824,9.396907002777892,14.3717401218956,2000
EGFR,gnina,ef5,6.898816614712828,6.124083198087324,7.71044209879669,2000
EGFR,gnina,bedroc_80_5,0.2084814245206872,0.1766643724586704,0.2418757261973002,2000
EGFR,coupled,roc_auc,0.7718443913230906,0.7486628747874883,0.7956200343655107,2000
EGFR,coupled,ef1,16.39852398523985,13.634727807952236,19.346573241013303,2000
EGFR,coupled,ef5,7.747334166255047,6.898816614712828,8.485175515422196,2000
EGFR,coupled,bedroc_80_5,0.2821006327025638,0.2441670228590907,0.3194500809754708,2000
CDK2,gnina,roc_auc,0.7470807866281942,0.7182161236653021,0.7736135907078968,2000
CDK2,gnina,ef1,10.96891353938364,8.437625799525875,13.711141924229548,2000
CDK2,gnina,ef5,6.6235362526278125,5.821961801672854,7.4672988325804,2000
CDK2,gnina,bedroc_80_5,0.221815549667397,0.1860412883754589,0.2582742306889884,2000
CDK2,coupled,roc_auc,0.751247002114406,0.7228574302748,0.77778617106124,2000
CDK2,coupled,ef1,13.078319989265108,10.125150959431052,16.24242966408731,2000
CDK2,coupled,ef5,7.045417542604106,6.242788388424208,7.8902348257816275,2000
CDK2,coupled,bedroc_80_5,0.2434704396126508,0.2052684786055,0.2795448248513709,2000
